Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit,IELTS Score
1,337,118,4,4.5,4.5,3.86,1,0.92,9.0
2,324,107,4,4.0,4.5,3.55,1,0.76,7.5
3,316,104,3,3.0,3.5,3.2,1,0.72,7.5
4,322,110,3,3.5,2.5,3.47,1,0.8,8.0
5,314,103,2,2.0,3.0,3.28,0,0.65,7.5
6,330,115,5,4.5,3.0,3.74,1,0.9,8.5
7,321,109,3,3.0,4.0,3.28,1,0.75,7.5
8,308,101,2,3.0,4.0,3.16,0,0.68,7.0
9,302,102,1,2.0,1.5,3.2,0,0.5,7.5
10,323,108,3,3.5,3.0,3.44,0,0.45,7.5
11,325,106,3,3.5,4.0,3.36,1,0.52,7.5
12,327,111,4,4.0,4.5,3.6,1,0.84,8.0
13,328,112,4,4.0,4.5,3.64,1,0.78,8.0
14,307,109,3,4.0,3.0,3.2,1,0.62,7.5
15,311,104,3,3.5,2.0,3.28,1,0.61,7.5
16,314,105,3,3.5,2.5,3.32,0,0.54,7.5
17,317,107,3,4.0,3.0,3.48,0,0.66,7.5
18,319,106,3,4.0,3.0,3.2,1,0.65,7.5
19,318,110,3,4.0,3.0,3.52,0,0.63,8.0
20,303,102,3,3.5,3.0,3.4,0,0.62,7.5
21,312,107,3,3.0,2.0,3.16,1,0.64,7.5
22,325,114,4,3.0,2.0,3.36,0,0.7,8.0
23,328,116,5,5.0,5.0,3.8,1,0.94,8.5
24,334,119,5,5.0,4.5,3.88,1,0.95,9.0
25,336,119,5,4.0,3.5,3.92,1,0.97,9.0
26,340,120,5,4.5,4.5,3.84,1,0.94,9.0
27,322,109,5,4.5,3.5,3.52,0,0.76,7.5
28,298,98,2,1.5,2.5,3.0,1,0.44,7.0
29,295,93,1,2.0,2.0,2.88,0,0.46,6.5
30,310,99,2,1.5,2.0,2.92,0,0.54,7.0
31,300,97,2,3.0,3.0,3.24,1,0.65,7.0
32,327,103,3,4.0,4.0,3.32,1,0.74,7.5
33,338,118,4,3.0,4.5,3.76,1,0.91,9.0
34,340,114,5,4.0,4.0,3.84,1,0.9,8.0
35,331,112,5,4.0,5.0,3.92,1,0.94,8.0
36,320,110,5,5.0,5.0,3.68,1,0.88,8.0
37,299,106,2,4.0,4.0,3.36,0,0.64,7.5
38,300,105,1,1.0,2.0,3.12,0,0.58,7.5
39,304,105,1,3.0,1.5,3.0,0,0.52,7.5
40,307,108,2,4.0,3.5,3.08,0,0.48,7.5
41,308,110,3,3.5,3.0,3.2,1,0.46,8.0
42,316,105,2,2.5,2.5,3.28,1,0.49,7.5
43,313,107,2,2.5,2.0,3.4,1,0.53,7.5
44,332,117,4,4.5,4.0,3.64,0,0.87,8.5
45,326,113,5,4.5,4.0,3.76,1,0.91,8.0
46,322,110,5,5.0,4.0,3.64,1,0.88,8.0
47,329,114,5,4.0,5.0,3.72,1,0.86,8.0
48,339,119,5,4.5,4.0,3.88,0,0.89,9.0
49,321,110,3,3.5,5.0,3.54,1,0.82,8.0
50,327,111,4,3.0,4.0,3.36,1,0.78,8.0
51,313,98,3,2.5,4.5,3.32,1,0.76,7.0
52,312,100,2,1.5,3.5,3.16,1,0.56,7.0
53,334,116,4,4.0,3.0,3.2,1,0.78,8.5
54,324,112,4,4.0,2.5,3.24,1,0.72,8.0
55,322,110,3,3.0,3.5,3.2,0,0.7,8.0
56,320,103,3,3.0,3.0,3.08,0,0.64,7.5
57,316,102,3,2.0,3.0,2.96,0,0.64,7.5
58,298,99,2,4.0,2.0,3.04,0,0.46,7.0
59,300,99,1,3.0,2.0,2.72,1,0.36,7.0
60,311,104,2,2.0,2.0,3.32,0,0.42,7.5
61,309,100,2,3.0,3.0,3.24,0,0.48,7.0
62,307,101,3,4.0,3.0,3.28,0,0.47,7.0
63,304,105,2,3.0,3.0,3.28,1,0.54,7.5
64,315,107,2,4.0,3.0,3.4,1,0.56,7.5
65,325,111,3,3.0,3.5,3.48,0,0.52,8.0
66,325,112,4,3.5,3.5,3.57,0,0.55,8.0
67,327,114,3,3.0,3.0,3.61,0,0.61,8.0
68,316,107,2,3.5,3.5,3.46,1,0.57,7.5
69,318,109,3,3.5,4.0,3.69,1,0.68,7.5
70,328,115,4,4.5,4.0,3.66,1,0.78,8.5
71,332,118,5,5.0,5.0,3.86,1,0.94,9.0
72,336,112,5,5.0,5.0,3.9,1,0.96,8.0
73,321,111,5,5.0,5.0,3.78,1,0.93,8.0
74,314,108,4,4.5,4.0,3.62,1,0.84,7.5
75,314,106,3,3.0,5.0,3.56,0,0.74,7.5
76,329,114,2,2.0,4.0,3.42,1,0.72,8.0
77,327,112,3,3.0,3.0,3.49,1,0.74,8.0
78,301,99,2,3.0,2.0,3.29,0,0.64,7.0
79,296,95,2,3.0,2.0,3.02,1,0.44,7.0
80,294,93,1,1.5,2.0,2.94,0,0.46,6.5
81,312,105,3,2.0,3.0,3.21,1,0.5,7.5
82,340,120,4,5.0,5.0,3.8,1,0.96,9.0
83,320,110,5,5.0,4.5,3.69,1,0.92,8.0
84,322,115,5,4.0,4.5,3.74,1,0.92,8.5
85,340,115,5,4.5,4.5,3.78,1,0.94,8.5
86,319,103,4,4.5,3.5,3.46,0,0.76,7.5
87,315,106,3,4.5,3.5,3.37,0,0.72,7.5
88,317,107,2,3.5,3.0,3.31,0,0.66,7.5
89,314,108,3,4.5,3.5,3.26,0,0.64,7.5
90,316,109,4,4.5,3.5,3.5,1,0.74,7.5
91,318,106,2,4.0,4.0,3.17,1,0.64,7.5
92,299,97,3,5.0,3.5,3.06,0,0.38,7.0
93,298,98,2,4.0,3.0,3.21,0,0.34,7.0
94,301,97,2,3.0,3.0,3.15,1,0.44,7.0
95,303,99,3,2.0,2.5,3.06,0,0.36,7.0
96,304,100,4,1.5,2.5,3.14,0,0.42,7.0
97,306,100,2,3.0,3.0,3.2,0,0.48,7.0
98,331,120,3,4.0,4.0,3.58,1,0.86,9.0
99,332,119,4,5.0,4.5,3.7,1,0.9,9.0
100,323,113,3,4.0,4.0,3.55,1,0.79,8.0
101,322,107,3,3.5,3.5,3.38,1,0.71,7.5
102,312,105,2,2.5,3.0,3.25,0,0.64,7.5
103,314,106,2,4.0,3.5,3.3,0,0.62,7.5
104,317,104,2,4.5,4.0,3.39,0,0.57,7.5
105,326,112,3,3.5,3.0,3.62,1,0.74,8.0
106,316,110,3,4.0,4.5,3.51,1,0.69,8.0
107,329,111,4,4.5,4.5,3.67,1,0.87,8.0
108,338,117,4,3.5,4.5,3.78,1,0.91,8.5
109,331,116,5,5.0,5.0,3.75,1,0.93,8.5
110,304,103,5,5.0,4.0,3.46,0,0.68,7.5
111,305,108,5,3.0,3.0,3.39,0,0.61,7.5
112,321,109,4,4.0,4.0,3.47,1,0.69,7.5
113,301,107,3,3.5,3.5,3.34,1,0.62,7.5
114,320,110,2,4.0,3.5,3.42,0,0.72,8.0
115,311,105,3,3.5,3.0,3.38,1,0.59,7.5
116,310,106,4,4.5,4.5,3.62,1,0.66,7.5
117,299,102,3,4.0,3.5,3.45,0,0.56,7.5
118,290,104,4,2.0,2.5,2.98,0,0.45,7.5
119,296,99,2,3.0,3.5,2.91,0,0.47,7.0
120,327,104,5,3.0,3.5,3.54,1,0.71,7.5
121,335,117,5,5.0,5.0,3.82,1,0.94,8.5
122,334,119,5,4.5,4.5,3.79,1,0.94,9.0
123,310,106,4,1.5,2.5,3.34,0,0.57,7.5
124,308,108,3,3.5,3.5,3.29,0,0.61,7.5
125,301,106,4,2.5,3.0,3.39,0,0.57,7.5
126,300,100,3,2.0,3.0,3.46,1,0.64,7.0
127,323,113,3,4.0,3.0,3.73,1,0.85,8.0
128,319,112,3,2.5,2.0,3.48,1,0.78,8.0
129,326,112,3,3.5,3.0,3.64,1,0.84,8.0
130,333,118,5,5.0,5.0,3.74,1,0.92,9.0
131,339,114,5,4.0,4.5,3.9,1,0.96,8.0
132,303,105,5,5.0,4.5,3.46,0,0.77,7.5
133,309,105,5,3.5,3.5,3.42,0,0.71,7.5
134,323,112,5,4.0,4.5,3.51,0,0.79,8.0
135,333,113,5,4.0,4.0,3.71,1,0.89,8.0
136,314,109,4,3.5,4.0,3.51,1,0.82,7.5
137,312,103,3,5.0,4.0,3.38,0,0.76,7.5
138,316,100,2,1.5,3.0,3.26,1,0.71,7.0
139,326,116,2,4.5,3.0,3.63,1,0.8,8.5
140,318,109,1,3.5,3.5,3.65,0,0.78,7.5
141,329,110,2,4.0,3.0,3.66,1,0.84,8.0
142,332,118,2,4.5,3.5,3.74,1,0.9,9.0
143,331,115,5,4.0,3.5,3.78,1,0.92,8.5
144,340,120,4,4.5,4.0,3.97,1,0.97,9.0
145,325,112,2,3.0,3.5,3.58,1,0.8,8.0
146,320,113,2,2.0,2.5,3.46,1,0.81,8.0
147,315,105,3,2.0,2.5,3.39,0,0.75,7.5
148,326,114,3,3.0,3.0,3.64,1,0.83,8.0
149,339,116,4,4.0,3.5,3.92,1,0.96,8.5
150,311,106,2,3.5,3.0,3.3,1,0.79,7.5
151,334,114,4,4.0,4.0,3.77,1,0.93,8.0
152,332,116,5,5.0,5.0,3.71,1,0.94,8.5
153,321,112,5,5.0,5.0,3.62,1,0.86,8.0
154,324,105,3,3.0,4.0,3.5,0,0.79,7.5
155,326,108,3,3.0,3.5,3.56,0,0.8,7.5
156,312,109,3,3.0,3.0,3.48,0,0.77,7.5
157,315,105,3,2.0,2.5,3.34,0,0.7,7.5
158,309,104,2,2.0,2.5,3.3,0,0.65,7.5
159,306,106,2,2.0,2.5,3.26,0,0.61,7.5
160,297,100,1,1.5,2.0,3.16,0,0.52,7.0
161,315,103,1,1.5,2.0,3.14,0,0.57,7.5
162,298,99,1,1.5,3.0,2.98,0,0.53,7.0
163,318,109,3,3.0,3.0,3.4,0,0.67,7.5
164,317,105,3,3.5,3.0,3.42,0,0.68,7.5
165,329,111,4,4.5,4.0,3.6,1,0.81,8.0
166,322,110,5,4.5,4.0,3.59,0,0.78,8.0
167,302,102,3,3.5,5.0,3.33,0,0.65,7.5
168,313,102,3,2.0,3.0,3.31,0,0.64,7.5
169,293,97,2,2.0,4.0,3.12,1,0.64,7.0
170,311,99,2,2.5,3.0,3.19,0,0.65,7.0
171,312,101,2,2.5,3.5,3.22,1,0.68,7.0
172,334,117,5,4.0,4.5,3.63,1,0.89,8.5
173,322,110,4,4.0,5.0,3.65,1,0.86,8.0
174,323,113,4,4.0,4.5,3.69,1,0.89,8.0
175,321,111,4,4.0,4.0,3.59,1,0.87,8.0
176,320,111,4,4.5,3.5,3.55,1,0.85,8.0
177,329,119,4,4.5,4.5,3.66,1,0.9,9.0
178,319,110,3,3.5,3.5,3.62,0,0.82,8.0
179,309,108,3,2.5,3.0,3.25,0,0.72,7.5
180,307,102,3,3.0,3.0,3.31,0,0.73,7.5
181,300,104,3,3.5,3.0,3.26,0,0.71,7.5
182,305,107,2,2.5,2.5,3.37,0,0.71,7.5
183,299,100,2,3.0,3.5,3.15,0,0.68,7.0
184,314,110,3,4.0,4.0,3.52,0,0.75,8.0
185,316,106,2,2.5,4.0,3.33,0,0.72,7.5
186,327,113,4,4.5,4.5,3.64,1,0.89,8.0
187,317,107,3,3.5,3.0,3.47,1,0.84,7.5
188,335,118,5,4.5,3.5,3.78,1,0.93,9.0
189,331,115,5,4.5,3.5,3.74,1,0.93,8.5
190,324,112,5,5.0,5.0,3.63,1,0.88,8.0
191,324,111,5,4.5,4.0,3.66,1,0.9,8.0
192,323,110,5,4.0,5.0,3.59,1,0.87,8.0
193,322,114,5,4.5,4.0,3.58,1,0.86,8.0
194,336,118,5,4.5,5.0,3.81,1,0.94,9.0
195,316,109,3,3.5,3.0,3.5,0,0.77,7.5
196,307,107,2,3.0,3.5,3.41,1,0.78,7.5
197,306,105,2,3.0,2.5,3.3,0,0.73,7.5
198,310,106,2,3.5,2.5,3.33,0,0.73,7.5
199,311,104,3,4.5,4.5,3.37,0,0.7,7.5
200,313,107,3,4.0,4.5,3.48,0,0.72,7.5
201,317,103,3,2.5,3.0,3.42,1,0.73,7.5
202,315,110,2,3.5,3.0,3.38,1,0.72,8.0
203,340,120,5,4.5,4.5,3.96,1,0.97,9.0
204,334,120,5,4.0,5.0,3.95,1,0.97,9.0
205,298,105,3,3.5,4.0,3.42,0,0.69,7.5
206,295,99,2,2.5,3.0,3.06,0,0.57,7.0
207,315,99,2,3.5,3.0,3.16,0,0.63,7.0
208,310,102,3,3.5,4.0,3.21,1,0.66,7.5
209,305,106,2,3.0,3.0,3.26,0,0.64,7.5
210,301,104,3,3.5,4.0,3.25,1,0.68,7.5
211,325,108,4,4.5,4.0,3.62,1,0.79,7.5
212,328,110,4,5.0,4.0,3.66,1,0.82,8.0
213,338,120,4,5.0,5.0,3.86,1,0.95,9.0
214,333,119,5,5.0,4.5,3.91,1,0.96,9.0
215,331,117,4,4.5,5.0,3.77,1,0.94,8.5
216,330,116,5,5.0,4.5,3.74,1,0.93,8.5
217,322,112,4,4.5,4.5,3.7,1,0.91,8.0
218,321,109,4,4.0,4.0,3.65,1,0.85,7.5
219,324,110,4,3.0,3.5,3.59,1,0.84,8.0
220,312,104,3,3.5,3.5,3.37,0,0.74,7.5
221,313,103,3,4.0,4.0,3.5,0,0.76,7.5
222,316,110,3,3.5,4.0,3.42,0,0.75,8.0
223,324,113,4,4.5,4.0,3.52,0,0.76,8.0
224,308,109,2,3.0,4.0,3.38,0,0.71,7.5
225,305,105,2,3.0,2.0,3.29,0,0.67,7.5
226,296,99,2,2.5,2.5,3.21,0,0.61,7.0
227,306,110,2,3.5,4.0,3.38,0,0.63,8.0
228,312,110,2,3.5,3.0,3.41,0,0.64,8.0
229,318,112,3,4.0,3.5,3.47,0,0.71,8.0
230,324,111,4,3.0,3.0,3.6,1,0.82,8.0
231,313,104,3,4.0,4.5,3.46,0,0.73,7.5
232,319,106,3,3.5,2.5,3.33,1,0.74,7.5
233,312,107,2,2.5,3.5,3.31,0,0.69,7.5
234,304,100,2,2.5,3.5,3.23,0,0.64,7.0
235,330,113,5,5.0,4.0,3.72,1,0.91,8.0
236,326,111,5,4.5,4.0,3.69,1,0.88,8.0
237,325,112,4,4.0,4.5,3.67,1,0.85,8.0
238,329,114,5,4.5,5.0,3.68,1,0.86,8.0
239,310,104,3,2.0,3.5,3.35,0,0.7,7.5
240,299,100,1,1.5,2.0,3.16,0,0.59,7.0
241,296,101,1,2.5,3.0,3.07,0,0.6,7.0
242,317,103,2,2.5,2.0,3.26,0,0.65,7.5
243,324,115,3,3.5,3.0,3.5,1,0.7,8.5
244,325,114,3,3.5,3.0,3.62,1,0.76,8.0
245,314,107,2,2.5,4.0,3.42,0,0.63,7.5
246,328,110,4,4.0,2.5,3.61,1,0.81,8.0
247,316,105,3,3.0,3.5,3.49,0,0.72,7.5
248,311,104,2,2.5,3.5,3.39,0,0.71,7.5
249,324,110,3,3.5,4.0,3.55,1,0.8,8.0
